Compare,x,#,f,o,r,t,i,m,e,u,k,y,l,g,s,a,n,d,b,h,p,:,_,v,j,c,w,/,.,[,],-,(,),",",!,"""","=""=""",^,?,<,q,{,},+,1,3,z,2,*,9,;,&,5,6,0,4,@,>,8,`,~,%,$,7,|,L,B,T,C,"=""'""",H,O,N, ,M,R,E,J,A,V,S,D,W,G,P,F,Q,Y,I,K
k,7,0,285,73,219,106,108,123,176,23,,26,79,232,142,112,246,364,81,402,48,29,0,95,0,35,154,0,0,0,0,7,9,24,47,7,20,16,0,0,0,12,0,0,7,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,9,0,0,0,0,0,0,20
y,139,0,45,161,163,206,128,398,832,37,26,,103,73,481,120,424,320,109,74,89,10,7,30,22,37,469,0,0,0,0,21,9,12,55,9,6,16,0,7,0,7,0,0,9,6,0,0,0,0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,21,0,0
l,27,32,237,43,257,460,203,364,346,17,79,103,,527,321,146,668,457,293,195,166,0,13,51,22,103,296,154,9,0,0,138,25,47,52,25,66,66,188,26,0,18,0,0,7,31,0,22,0,24,0,6,10,0,0,7,0,6,0,0,15,13,0,0,0,0,160,0,0,0,0,0,0,0,0,28,11,0,0,0,0,0,11,0,0,0,0,0,0,0,0
g,16,10,160,96,109,708,172,264,239,18,232,73,527,,602,176,462,681,223,129,86,0,25,55,18,121,305,10,9,0,0,20,39,10,57,10,37,16,10,10,0,25,0,0,0,10,0,17,0,10,0,12,10,0,0,7,0,6,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,11,140,0,0,0,0,0,0
s,68,0,1348,157,651,4008,569,1186,1271,75,142,481,321,602,,1168,2044,1931,538,443,405,34,105,210,12,289,2176,0,0,0,0,6,210,36,226,0,64,18,0,7,6,34,15,15,0,16,0,10,13,0,9,9,0,0,0,15,6,0,0,0,0,0,0,0,0,0,11,11,0,22,0,0,0,0,0,0,0,0,0,7,0,122,0,9,11,0,0,0,0,0,11
a,120,488,45,1517,295,266,2573,334,2726,407,112,120,146,176,1168,,200,831,463,389,87,1066,1370,226,27,60,1712,84,99,221,211,1277,564,1211,1206,696,894,788,59,1253,38,40,146,155,332,269,95,0,174,104,31,154,77,64,41,178,650,43,208,12,177,24,36,43,26,11,9,6,0,0,0,0,0,0,0,0,0,11,0,383,0,0,0,11,0,0,0,0,0,0,0
n,103,19,2170,380,1118,2597,292,1120,508,80,246,424,668,462,2044,200,,708,164,564,111,53,6,76,19,89,495,19,9,0,0,19,29,37,111,30,48,25,19,31,0,35,9,9,0,19,20,17,6,19,0,16,10,0,0,16,6,7,0,0,15,13,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d,62,0,162,104,517,1227,282,641,937,43,364,320,457,681,1931,831,708,,384,318,112,36,37,230,57,118,1305,35,6,0,0,0,77,47,87,0,60,13,0,0,38,18,8,8,0,6,85,81,14,0,0,9,0,0,0,17,6,0,0,0,0,0,0,0,0,0,22,7,0,0,9,0,0,0,0,11,0,11,0,0,0,0,100,0,0,0,0,0,0,0,0
b,57,38,126,713,993,256,284,845,1256,39,81,109,293,223,538,463,164,384,,345,311,34,58,180,34,139,1594,69,21,0,7,91,70,62,71,30,107,65,69,44,0,34,6,6,6,31,9,17,12,24,0,7,10,0,0,13,6,17,0,0,21,13,0,0,0,0,11,203,0,18,0,0,0,0,0,18,11,0,11,0,0,0,0,11,0,0,0,0,0,0,0
h,15,0,207,187,440,161,186,240,418,33,402,74,195,129,443,389,564,318,345,,81,29,27,133,6,78,784,0,0,0,0,0,87,23,42,0,28,0,0,7,0,12,6,6,0,0,0,0,6,0,9,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,11,0,0,11,0,143,0,0,0,0,11,0,0,0,0,0,0,9,0,0,0,0,0,0,0
p,25,0,71,289,53,213,80,241,81,44,48,89,166,86,405,87,111,112,311,81,,0,22,12,10,86,130,20,0,0,0,6,34,20,8,0,28,0,0,0,20,16,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0
:,102,481,12,73,0,0,72,10,97,30,29,10,0,0,34,1066,53,36,34,29,0,,954,0,0,0,62,119,99,221,221,959,554,1004,985,715,883,781,59,973,108,0,131,140,332,263,102,0,168,104,22,157,77,64,41,163,644,16,208,12,177,24,36,43,26,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_,15,487,6,18,0,60,16,41,59,8,0,7,13,25,105,1370,6,37,58,27,22,954,,6,0,40,49,90,105,221,196,1269,586,1155,1107,702,884,787,65,1252,38,0,131,140,332,269,86,6,168,119,22,147,83,64,41,169,644,16,208,12,183,30,36,43,26,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v,6,6,91,43,241,98,168,206,253,81,95,30,51,55,210,226,76,230,180,133,12,0,6,,33,53,176,6,12,0,0,23,6,6,13,6,6,6,6,13,0,12,0,0,10,23,7,6,13,13,7,7,6,0,0,6,0,27,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,20,0,0,0,0
j,0,0,12,9,30,58,35,18,27,27,0,22,22,18,12,27,19,57,34,6,10,0,0,33,,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,142,0,0,0,0,0,0,0,0,0,0,0,0
c,25,8,55,69,45,185,60,120,147,9,35,37,103,121,289,60,89,118,139,78,86,0,40,53,0,,375,8,8,0,0,18,28,26,31,8,47,8,8,8,0,12,9,9,0,14,0,6,12,8,0,0,8,0,0,16,6,0,0,0,8,8,0,0,22,0,0,0,0,383,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
w,54,13,141,164,1069,2388,268,779,2142,183,154,469,296,305,2176,1712,495,1305,1594,784,130,62,49,176,0,375,,0,29,0,8,6,61,29,103,0,109,19,0,31,0,24,0,0,0,6,9,0,0,0,6,9,0,0,0,0,0,0,0,0,33,0,0,0,0,0,11,11,0,7,0,0,0,0,0,0,0,11,0,0,0,0,11,120,11,8,0,0,0,0,11
/,14,109,8,0,0,0,47,27,154,0,0,0,154,10,0,84,19,35,69,0,20,119,90,6,0,8,0,,93,84,84,207,84,124,92,102,132,143,213,110,73,0,84,84,84,109,119,6,84,108,22,84,87,64,41,91,84,16,84,12,99,37,36,43,26,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.,9,121,8,6,0,0,15,19,38,0,0,0,9,9,0,99,9,6,21,0,0,99,105,12,0,8,29,93,,99,99,114,99,108,107,108,137,114,68,133,38,0,99,99,105,121,86,6,112,108,22,99,86,71,41,106,99,16,99,12,137,33,36,43,26,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0,221,221,0,0,0,0,84,99,,196,221,221,221,221,221,263,221,59,221,38,0,131,140,221,221,86,0,168,104,22,147,77,64,41,163,221,16,208,12,177,24,36,43,26,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
],7,196,0,0,0,0,14,0,0,0,0,0,0,0,0,211,0,0,7,0,0,221,196,0,0,0,8,84,99,196,,196,196,238,238,196,237,196,59,196,38,0,131,140,196,196,86,0,168,104,22,147,77,64,41,163,196,16,196,12,177,24,36,43,26,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,27,506,18,13,0,26,90,40,142,6,7,21,138,20,6,1277,19,0,91,0,6,959,1269,23,8,18,6,207,114,221,196,,508,1159,1105,714,863,856,182,1263,45,0,131,140,358,512,211,6,359,136,22,147,87,130,85,170,732,16,208,23,192,37,36,43,59,11,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(,20,488,54,32,0,110,91,21,114,21,9,9,25,39,210,564,29,77,70,87,34,554,586,6,0,28,61,84,99,221,196,508,,543,516,551,621,508,59,569,38,0,147,155,332,263,97,0,174,104,22,147,77,64,41,179,514,16,208,12,177,24,36,43,26,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
),32,500,17,0,16,31,110,38,53,0,24,12,47,10,36,1211,37,47,62,23,20,1004,1155,6,0,26,29,124,108,221,238,1159,543,,1192,724,986,812,78,1185,59,0,154,155,332,288,107,6,174,123,22,157,87,64,41,189,650,29,208,12,192,37,36,43,26,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
",",32,489,43,58,151,175,132,86,138,12,47,55,52,57,226,1206,111,87,71,42,8,985,1107,13,0,31,103,92,107,221,238,1105,516,1192,,695,904,802,67,1106,38,6,139,171,332,283,97,6,174,112,31,174,85,70,41,190,650,16,208,12,185,32,36,43,26,11,0,0,0,0,12,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
!,21,499,14,0,0,0,24,18,18,0,7,9,25,10,0,696,30,0,30,0,0,715,702,6,0,8,0,102,108,221,196,714,551,724,695,,748,717,77,748,38,0,131,140,344,281,97,6,168,122,22,147,87,64,41,170,644,29,208,12,192,37,36,43,26,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""",46,519,34,34,0,82,116,77,169,14,20,6,66,37,64,894,48,60,107,28,28,883,884,6,0,47,109,132,137,263,237,863,621,986,904,748,,840,100,937,45,6,154,155,332,288,104,6,182,128,22,147,87,64,41,198,650,29,208,12,225,37,36,43,26,11,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
